case_id,split,dataset_label,fg_id,bg_id,foreground_category,background_category,candidate_source,candidate_id,model_rank,is_top3,score,tier,label,x,y,w,h,model_version,runtime_ms
opa_test_001,test,1,69931,442445,cow,cow,opa_position,opa_position,1,yes,0.9985,recommended,推荐,0.4125,0.300781,0.409375,0.488281,simopa-rgb-mask-v1,195
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_02,2,yes,0.9985,recommended,推荐,0.42,0.3,0.40867,0.4889,simopa-rgb-mask-v1,24
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_07,3,yes,0.8876,recommended,推荐,0.59133,0.3,0.40867,0.4889,simopa-rgb-mask-v1,26
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_08,4,no,0.6002,acceptable,可接受,0.59133,0.12,0.40867,0.4889,simopa-rgb-mask-v1,28
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_11,5,no,0.197,rejected,不推荐,0.59133,0.5111,0.40867,0.4889,simopa-rgb-mask-v1,24
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_01,6,no,0.0,rejected,不推荐,0.38,0.5111,0.40867,0.4889,simopa-rgb-mask-v1,26
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_03,7,no,0.0,rejected,不推荐,0.15,0.5111,0.40867,0.4889,simopa-rgb-mask-v1,24
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_04,8,no,0.0,rejected,不推荐,0.55,0.5111,0.40867,0.4889,simopa-rgb-mask-v1,24
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_05,9,no,0.0,rejected,不推荐,0.52,0.46,0.40867,0.4889,simopa-rgb-mask-v1,24
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_06,10,no,0.0,rejected,不推荐,0.25,0.3,0.40867,0.4889,simopa-rgb-mask-v1,25
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_09,11,no,0.0,rejected,不推荐,0.08,0.18,0.40867,0.4889,simopa-rgb-mask-v1,26
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_10,12,no,0.0,rejected,不推荐,0.04,0.5111,0.40867,0.4889,simopa-rgb-mask-v1,24
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_12,13,no,0.0,rejected,不推荐,0.3,0.2,0.40867,0.4889,simopa-rgb-mask-v1,25
