case_id,dataset_label,fg_id,bg_id,foreground_category,background_category,image_width,image_height,dataset_position_score,dataset_position_rank,top1_source,top1_score,top3_scores,assessment,model_version
opa_test_001,1,69931,442445,cow,cow,640,512,0.9985,1,opa_position,0.9985,0.9985;0.9985;0.8876,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_002,1,64754,186413,sheep,sheep,640,427,0.9987,10,prior_pool,1.0,1.0000;1.0000;1.0000,review_positive_high_score_low_rank,simopa-worker-rgb-mask-v1
opa_test_003,1,160915,580029,airplane,airplane,640,427,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_004,1,157189,15016,airplane,airplane,640,425,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_005,1,65690,186413,sheep,sheep,640,427,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_006,1,2175267,348935,zebra,zebra,529,640,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_007,1,1519373,78478,fork,spoon,640,480,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_008,1,1412247,213399,zebra,zebra,640,427,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_009,1,13433,500165,dog,dog,640,480,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_010,1,1914814,298623,broccoli,broccoli,640,426,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_011,1,128038,180967,bicycle,bicycle,500,333,1.0,1,opa_position,1.0,1.0000;0.9994;0.3642,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_012,1,417577,317687,fire hydrant,fire hydrant,640,480,0.9996,6,prior_pool,1.0,1.0000;1.0000;1.0000,review_positive_high_score_low_rank,simopa-worker-rgb-mask-v1
opa_test_013,1,178226,366257,boat,boat,640,427,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
